,LSOA,Site 1,Site 2,Site 3,Site 4,Site 5,Site 6
25,Brighton and Hove 010D,676.27,125.78,378.21,697.22,205.63,467.94
26,Brighton and Hove 004D,685.25,286.75,490.53,647.58,244.97,472.16
27,Brighton and Hove 011C,651.54,260.23,464.0,584.51,259.52,434.85
28,Brighton and Hove 011E,549.89,365.58,569.35,482.18,377.01,330.87
29,Brighton and Hove 011B,584.61,425.52,630.62,673.28,361.22,371.52
30,Brighton and Hove 004C,650.02,279.65,552.66,709.71,215.34,436.92
31,Brighton and Hove 008C,899.76,349.27,377.57,828.0,429.12,691.43
32,Brighton and Hove 008B,814.99,221.25,497.49,879.59,344.35,606.67
33,Brighton and Hove 008D,795.31,244.82,297.13,723.55,324.67,586.99
34,Brighton and Hove 010A,771.54,183.47,364.64,752.39,300.9,563.22
35,Brighton and Hove 010B,696.6,15.24,366.84,697.51,225.96,488.27
36,Brighton and Hove 008A,864.42,482.98,362.4,899.54,427.42,656.09
